overhang=1 fmax=1 | h: len=27 eps=-1 dl=1 k=-7 lo=-7 a=[-1, -1, -1, -1, 1, 5, -1] | h*: len=25 lo=-7 a=[-1, -1, -1, -1, 1, 1, 1, -4] | f: lo=-2 [-1]
overhang=2 fmax=1 | h: len=31 eps=-1 dl=1 k=-7 lo=-7 a=[3, 5, -1, -1, 1, 1, 1] | h*: len=29 lo=-9 a=[-4, -2, 1, 1, -1, -1, 1, 1, 1] | f: lo=-9 [-1, -1]
overhang=0 fmax=1 | h: len=21 eps=-1 dl=1 k=-7 lo=-7 a=[3, -1, 1, -1, 1, 1, 1] | h*: len=19 lo=-7 a=[-1, 1, -3, -1, 1, 1, 1] | f: lo=-7 [-1]
overhang=0 fmax=1 | h: len=21 eps=-1 dl=1 k=-7 lo=-7 a=[3, -1, -1, 1, -1, 1, 1] | h*: len=19 lo=-7 a=[-1, 1, -1, -1, 3, 1, 1] | f: lo=-7 [-1, 0, 1]
overhang=2 fmax=1 | h: len=31 eps=-1 dl=1 k=-7 lo=-7 a=[3, 5, -1, -1, -1, 1, 1] | h*: len=29 lo=-9 a=[-4, -2, 1, 1, -1, -1, -1, 1, 1] | f: lo=-9 [-1, -1]
overhang=1 fmax=1 | h: len=25 eps=-1 dl=1 k=-6 lo=-6 a=[-1, -1, -1, 1, 5, -1] | h*: len=23 lo=-6 a=[-1, -1, -1, 1, 1, 1, -4] | f: lo=-2 [-1]
overhang=1 fmax=1 | h: len=25 eps=-1 dl=1 k=-6 lo=-6 a=[1, -5, -1, 1, 1, 1] | h*: len=23 lo=-7 a=[4, -1, -1, -1, 1, 1, 1] | f: lo=-7 [1]
overhang=0 fmax=1 | h: len=19 eps=-1 dl=1 k=-6 lo=-6 a=[-1, -1, -1, -1, 1, -3] | h*: len=17 lo=-6 a=[-1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=19 eps=-1 dl=1 k=-6 lo=-6 a=[-1, 1, -1, 1, 1, -3] | h*: len=17 lo=-6 a=[-1, -3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=2 fmax=1 | h: len=29 eps=-1 dl=1 k=-6 lo=-6 a=[-1, -1, 1, 1, -5, -3] | h*: len=27 lo=-6 a=[-1, -1, 1, 1, -1, -1, 2, 4] | f: lo=-2 [1, 1]
overhang=2 fmax=1 | h: len=29 eps=-1 dl=1 k=-6 lo=-6 a=[-5, 1, 1, 1, -3, 1] | h*: len=27 lo=-6 a=[-1, -1, 1, -1, -1, -1, 2, 4] | f: lo=-6 [1, 0, -1, -1, 1, 1]
overhang=3 fmax=1 | h: len=31 eps=-1 dl=1 k=-5 lo=-5 a=[-1, -1, 5, 3, -3] | h*: len=29 lo=-5 a=[-1, -1, 1, 1, -1, -2, 2, 4] | f: lo=-3 [-1, -1, 1, 1]
overhang=3 fmax=1 | h: len=31 eps=-1 dl=1 k=-5 lo=-5 a=[-1, 1, 5, 3, -3] | h*: len=29 lo=-5 a=[-1, 1, 1, 1, -1, -2, 2, 4] | f: lo=-3 [-1, -1, 1, 1]
overhang=1 fmax=1 | h: len=23 eps=-1 dl=1 k=-5 lo=-5 a=[-1, -1, 1, 5, -1] | h*: len=21 lo=-5 a=[-1, -1, 1, 1, 1, -4] | f: lo=-2 [-1]
